FULL_step_teacher,FULL_reward_teacher,FULL_step_student,FULL_reward_student,INT_step_teacher,INT_reward_teacher,INT_step_student,INT_reward_student,EXT_step_teacher,EXT_reward_teacher,EXT_step_student,EXT_reward_student
148,650.1760864257812,148,633.3121948242188,148,-54.78096008300781,148,-56.94221496582031,148,-119.8255386352539,148,-118.19477081298828
149,686.6267700195312,149,575.9869384765625,149,-68.49673461914062,149,-25.26103401184082,149,-116.09720611572266,149,-123.73402404785156
150,614.0304565429688,150,650.1723022460938,150,-34.19074249267578,150,-26.81360626220703,150,-115.52274322509766,150,-116.75076293945312
151,698.2023315429688,151,648.2866821289062,151,6.617340564727783,151,-52.534332275390625,151,-118.31548309326172,151,-115.18866729736328
152,617.3106689453125,152,732.8736572265625,152,-21.492233276367188,152,-49.9567985534668,152,-116.45867156982422,152,-122.3545913696289
153,726.737060546875,153,686.9722290039062,153,-1.501783013343811,153,-70.29981231689453,153,-113.69985961914062,153,-116.61073303222656
154,594.1865234375,154,690.03857421875,154,-6.416079521179199,154,-49.45457458496094,154,-113.88551330566406,154,-118.47242736816406
155,613.7227783203125,155,604.417724609375,155,-10.206730842590332,155,-16.895549774169922,155,-112.30909729003906,155,-110.53962707519531
156,686.4049072265625,156,664.4791870117188,156,43.68585205078125,156,-22.263601303100586,156,-116.33708953857422,156,-114.16732788085938
157,674.3422241210938,157,678.2381591796875,157,0.8116247653961182,157,-14.67624282836914,157,-113.0118179321289,157,-121.5952377319336
158,753.27587890625,158,730.6408081054688,158,26.300180435180664,158,-4.027600288391113,158,-118.53945922851562,158,-113.6552963256836
159,714.3043823242188,159,764.0719604492188,159,75.96543884277344,159,-4.684754371643066,159,-112.93499755859375,159,-113.61553955078125
160,675.0573120117188,160,733.8304443359375,160,48.8122444152832,160,-18.694561004638672,160,-116.99267578125,160,-111.13777160644531
161,699.08251953125,161,714.370849609375,161,59.79067611694336,161,-6.296945095062256,161,-112.51258850097656,161,-113.82872772216797
162,737.716552734375,162,681.1491088867188,162,69.22553253173828,162,4.838377952575684,162,-114.07200622558594,162,-116.28583526611328
163,721.57177734375,163,681.3250122070312,163,89.4244155883789,163,32.17466354370117,163,-107.4131088256836,163,-115.40338897705078
164,720.1251220703125,164,687.426025390625,164,58.70555877685547,164,23.361364364624023,164,-100.89128112792969,164,-114.61732482910156
165,802.736083984375,165,702.725341796875,165,86.24038696289062,165,55.59844207763672,165,-113.10348510742188,165,-117.25188446044922
166,755.3370971679688,166,696.7335815429688,166,88.40350341796875,166,95.38703155517578,166,-108.52857208251953,166,-118.12525939941406
167,755.475341796875,167,724.0468139648438,167,115.36165618896484,167,107.43182373046875,167,-102.5024185180664,167,-118.0846176147461
168,713.412353515625,168,738.2083129882812,168,90.47003936767578,168,62.190460205078125,168,-112.69439697265625,168,-106.5854263305664
169,818.7816772460938,169,773.9669189453125,169,148.09336853027344,169,58.023563385009766,169,-112.87733459472656,169,-108.50589752197266
170,717.458251953125,170,730.3179321289062,170,83.35572814941406,170,84.92796325683594,170,-109.47980499267578,170,-115.81781005859375
171,874.8427734375,171,767.3634033203125,171,93.2100830078125,171,93.32927703857422,171,-111.26182556152344,171,-112.12619018554688
172,818.0897216796875,172,750.6598510742188,172,89.84635925292969,172,70.1581039428711,172,-111.8846664428711,172,-111.65330505371094
